12000	25.8259
11500	28.5817
11000	31.6369
10500	35.0722
10000	39.0047
9500	43.5961
9000	49.065
8500	55.7043
8200	60.4083
8000	63.9084
7800	67.7431
7600	71.9557
7500	74.2191
7400	76.5964
7300	79.0952
7200	81.7236
7000	87.4059
6800	93.7246
6700	97.1524
6600	100.777
6500	104.615
6400	108.681
6300	112.997
6200	117.581
6100	122.458
6000	127.654
5900	133.197
5800	139.121
5700	145.462
5600	152.262
5500	159.568
5400	167.432
5300	175.916
5200	185.087
5100	195.026
5000	205.821
4900	217.575
4800	230.409
4700	244.459
4600	259.884
4500	276.87
4400	295.632
4300	316.424
4200	339.543
4100	365.342
4000	394.242
3900	426.747
3800	463.465
3700	505.14
3600	552.687
3500	607.248
3400	670.261
3300	743.572
3200	829.58
3100	931.456
3050	989.624
3000	1053.47
2950	1123.77
2900	1201.47
2850	1287.64
2800	1383.61
2750	1490.93
2700	1611.49
2650	1747.55	
2600	1901.85
2550	2077.72
2500	2279.22
2450	2511.26
2400	2779.86
2350	3092.29
2300	3457.36
2250	3885.58
2200	4389.3
