6.37650933339D+04	50
5.21067061211D+04	55
4.35157796269D+04	60
3.71238961461D+04	65
3.26012827893D+04	70
2.92533099785D+04	75
2.65636182357D+04	80
2.43306768135D+04	85
2.24436802733D+04	90
2.08203413591D+04	95
1.94004680946D+04	100
1.70391291080D+04	110
1.51654632433D+04	120
1.36582172879D+04	130
1.24316125712D+04	140
1.14216091563D+04	150
1.05795914102D+04	160
9.86859570001D+03	170
9.26110701331D+03	180
8.73585845713D+03	190
8.27705576410D+03	200
7.87235206776D+03	210
7.51268134086D+03	220
7.19065168760D+03	230
6.90015690502D+03	240
6.63672171044D+03	250
6.39662708610D+03	260
6.17670026504D+03	270
5.97448353777D+03	280
5.78787193316D+03	290
5.61503028796D+03	300
5.30497595891D+03	320
5.03468208252D+03	340
4.79701645865D+03	360
4.58634529128D+03	380
4.39849069450D+03	400
4.23001788395D+03	420
4.07803401863D+03	440
3.94032598408D+03	460
3.81502503641D+03	480
3.70051845926D+03	500
3.45350101569D+03	550
3.25052617257D+03	600
3.08072512277D+03	650
2.93656535035D+03	700
2.81242460463D+03	750
2.70459844206D+03	800
2.60909645474D+03	850
2.52300660493D+03	900
2.44693929168D+03	950
2.38076650498D+03	1000
2.32008458987D+03	1050
2.26364531088D+03	1100
2.21130001803D+03	1150
2.16293254821D+03	1200
2.07747996072D+03	1300
2.00517667395D+03	1400
1.94325369028D+03	1500
1.88942111477D+03	1600
1.84185409431D+03	1700
1.79937927722D+03	1800
1.76110110115D+03	1900
1.72640452444D+03	2000
1.69479792273D+03	2100
1.66590319585D+03	2200
1.63939796999D+03	2300
1.61501361993D+03	2400
1.59251243330D+03	2500
1.57169099648D+03	2600
1.55236705318D+03	2700
1.53438465376D+03	2800
1.51760367445D+03	2900
1.50190475554D+03	3000
1.48718051277D+03	3100
1.47333958617D+03	3200
1.46029958661D+03	3300
1.44799020896D+03	3400
1.43634780953D+03	3500
1.42531776148D+03	3600
1.41485035596D+03	3700
1.40490252771D+03	3800
1.39543489448D+03	3900
1.38641322552D+03	4000
1.36958445166D+03	4200
1.35419866287D+03	4400
1.34008262864D+03	4600
1.32708348445D+03	4800
1.31507273389D+03	5000
1.30393840911D+03	5200
1.29359871697D+03	5400
1.28398154797D+03	5600
1.27500982904D+03	5800
1.26657790893D+03	6000
1.24755587506D+03	6500
1.23155080107D+03	7000
1.21738786568D+03	7500
1.20474989903D+03	8000
1.19360221721D+03	8500
1.18372919164D+03	9000
1.17489204730D+03	9500
1.16691456887D+03	10000
1.15965124167D+03	10500
1.15300610065D+03	11000
1.14690146643D+03	11500
1.14127998480D+03	12000
1.13609190804D+03	12500
1.13129453814D+03	13000
1.12684859665D+03	13500
1.12271926196D+03	14000
1.11887425339D+03	14500
1.11528545283D+03	15000
1.11192700104D+03	15500
1.10877683953D+03	16000
1.10581481593D+03	16500
1.10302391674D+03	17000
1.10038862387D+03	17500
1.09789584346D+03	18000
1.09553360562D+03	18500
1.09329174577D+03	19000
1.09116092561D+03	19500
1.08913311714D+03	20000
1.08535786480D+03	21000
1.08191592289D+03	22000
1.07876581524D+03	23000
1.07587392349D+03	24000
1.07320998316D+03	25000
1.07074931461D+03	26000
1.06846969337D+03	27000
1.06635238764D+03	28000
1.06438032031D+03	29000
1.06253905823D+03	30000
1.06081540682D+03	31000
1.05919815673D+03	32000
1.05767699858D+03	33000
1.05624318470D+03	34000
1.05488864443D+03	35000
1.05360642065D+03	36000
1.05239013627D+03	37000
1.05123443630D+03	38000
1.05013424786D+03	39000
1.04908482090D+03	40000
